Empresa;Region
Iglesia Central Denominacion Centro Misionero Bethesda;Bogota
ASOCIACIÓN DE TELEVIDENTES DE LA ESTACIÓN LOCAL DEL NORTE - ATN;Norte de Santander
TELECARIBE;Nacional
Diócesis de Ipiales - Tv Ipiales Canal 24;Nariño
Fundación para el Desarrollo Social Promover;Bogota
Sociedad Televisiòn de Antioquia Limitada;Antioquia
Arquidiócesis de Tunja;Boyaca
Universidad de Nariño;Bogota
CORPORACION CANAL LOCAL DE TELEVISION CIUDADANA DEL AREA METROPOLITANA DE BUCARAMANGA;Santander 
ORPORACION CANAL DE TELEVISIÓN LOCAL CANAL UTV DEL AREA METROPOLITANA DE BUCARAMANGA;Santander
TELEVISION REGIONAL DEL ORIENTE - CANAL TRO;Norte de Santander
"ASOCIACIÓN CANAL LOCAL DE TELEVISIÓN DE MEDELLÍN ""TELEMEDELLÍN""";Antioquia
